,Alive,Currently Infected,Dead,Time Step,Total Infected So Far
0,1993.0,36.0,7.0,0.0,50.0
1,1980.0,17.0,20.0,1.0,50.0
2,1967.0,-8.0,33.0,2.0,50.0
3,1955.0,-30.0,45.0,3.0,50.0
4,1942.0,-60.0,58.0,4.0,50.0
5,1923.0,-91.0,77.0,5.0,50.0
6,1913.0,-114.0,87.0,6.0,50.0
7,1898.0,-136.0,102.0,7.0,50.0
8,1891.0,-156.0,109.0,8.0,50.0
9,1882.0,-180.0,118.0,9.0,50.0
10,1872.0,-204.0,128.0,10.0,50.0
11,1859.0,-220.0,141.0,11.0,50.0
12,1855.0,-229.0,145.0,12.0,50.0
13,1851.0,-235.0,149.0,13.0,50.0
14,1845.0,-245.0,155.0,14.0,50.0
15,1840.0,-253.0,160.0,15.0,50.0
16,1833.0,-263.0,167.0,16.0,50.0
17,1828.0,-272.0,172.0,17.0,50.0
18,1820.0,-282.0,180.0,18.0,50.0
19,1816.0,-288.0,184.0,19.0,50.0
20,1816.0,-288.0,184.0,20.0,50.0
